en,cze,chi,dan,deu,eng,eng_and_spa,fre,itl,jpn,por,se,spa,tha,turk,Kor,Russian,Dutch,Finnish,Norwegian
This survey is inactive,Tento dotazník není aktivní.,此调查问卷不再运行,Denne undersøgelse er ikke aktiv,Diese Umfrage ist inaktiv.,,This survey is inactive - Esta encuesta está inactiva.,Ce sondage est inactif,Questo sondaggio è innativo,アンケートのリンクが使用されていません。,Esta pesquisa está inativa,Undersökningen är inaktiv,Esta encuesta está inactiva.,แบบสอบถามนี้ยังไม่เปิดให้ตอบ,Bu anket aktif değil,설문의 유효기간이 지났습니다.,Данный опрос неактивен,Deze enquête is inactief,Tämä kysely ei ole käynnissä,Denne undersøkelsen er inaktiv
Unable to start survey.,Dotazník nelze spustit.,无法启动调查问卷。,Det er ikke muligt at starte undersøgelsen,Das Starten der Umfrage ist nicht möglich.,,Unable to start survey - Imposible comenzar la encuesta.,Incapable de commencer le sondage.,,アンケートを開始することができませんでした。,Não é possível começar a pesquisa,Kan inte starta enkäten.,No se ha podido comenzar la encuesta.,ฉันไม่สามารถเริ่มตอบคำถามในแบบสอบถามนี้ได้,Ankete başlanamıyor,설문을 시작 할 수 없습니다.,Не удалось запустить опрос.,Kan de enquête niet starten.,Kyselyn käynnistäminen ei onnistu.,Kan ikke starte undersøkelsen.
Invalid Survey,Neplatný dotazník.,无效的调查问卷,Undersøgelsen er ugyldig,Ungültige Umfrage.,,Invalid Survey - Encuesta inválida.,Sondage non valide,,ページが見つかりませんでした。,Pesquisa inválida,Ogiltig enkät,Encuesta inválida.,แบบสอบถามไม่สมบูรณ์,Geçersiz Anket,무효 설문,Недопустимый опрос,Ongeldige enquête,Virheellinen kysely,Ugyldig undersøkelse
No partner id,Identifikační číslo uživatele nebylo nenalezeno.,没有合作伙伴ID,Du har ikke noget partner ID,Keine Partner ID,,No partner id - La identificación no calza.,Aucun numéro d'identification associé,,ページが見つかりませんでした。,Nenhuma identidade associada,Inget partner ID,La identificación no coincide,คุณไม่มีเลขประจำตัว,Kimlik bilgisi yok,partner id가 없습니다,Нет партнерского кода,Geen partner-id,Ei kumppanin id:tä,Ingen partner-ID
You have already finished this survey.,Tento dotazník jste již dokončil/a.,你已经完成了此调查问卷。,Du har allerede afsluttet denne undersøgelse,Sie haben diese Umfrage bereits beendet.,,You have already finished this survey - Usted ya ha terminado esta encuesta.,Vous avez déjà fini ce sondage.,,アンケートを完了しました。,Você já havia concluído essa pesquisa,Du har redan deltagit i denna undersökningen.,Usted ya ha terminado esta encuesta.,ฉันตอบแบบสอบถามเรียบร้อยแล้ว,Bu anketi daha önce doldurdunuz.,설문을 이미 완성하였습니다.,Вы уже завершили этот опрос.,U hebt deze enquête al voltooid.,Olet jo vastannut tähän kyselyyn.,Du har allerede fullført denne undersøkelsen.
This survey is no longer available,Tento dotazník již není k dispozici.,此调查问卷不可以再用。,Denne undersøgelse er ikke længere tilgængelig,Diese Umfrage ist nicht mehr verfügbar.,,This survey is no longer available - Esta encuesta ya no está disponible.,Ce sondage n'est plus disponible,,このアンケートにはアクセスできません。,Esta pesquisa não está mais disponível,Undersökningen är inte längre tillgänglig,Esta encuesta ya no está disponible.,แบบสอบถามนี้ไม่เปิดรับคำตอบอีกต่อไป,Bu anket artık mevcut değil,설문의 유효기간이 지났습니다.,Этот опрос уже недоступен,Deze enquête is niet langer beschikbaar,Tämä kysely ei ole enää saatavilla,Denne undersøkelsen er ikke lenger tilgjengelig
Please provide an answer.,Prosím napište Vaši odpověď.,请提供一个答案。,Du mangler at angive et svar,Bitte geben Sie eine Antwort.,,Please provide an answer - Por favor dé una respuesta.,Veuillez fournir une réponse.,,回答してください。,"Por favor, forneça uma resposta",Vänligen ange ett svar.,Por favor dé una respuesta.,กรุณาให้คำตอบ,Lütfen bir yanıt veriniz,답을 입력하여주세요.,Укажите Ваш ответ.,Geef een antwoord.,Anna vastaus.,Gi et svar.
Please choose %d images.,Vyberte prosím %d obrázek.,请选择%d个图片。,Vælg %d billeder.,Bitte wählen Sie %d Bilder.,,Please choose %d images - Por favor escoja %d imágenes.,Veuillez choisir %d images.,,,,Vänligen välj %d bilder.,Por favor escoja %d imágenes.,กรุณาเลือก %d รูปภาพ,Lütfen %d görsel seçiniz,%d개의 그림을 선택해주세요.,Выберите % изображения(й).,Kies %d afbeeldingen.,Valitse %d kuvaa.,Velg %d bilder.
This survey does not exist,Tento dotazník neexistuje.,此调查问卷不存在,Denne undersøgelse findes ikke,Diese Umfrage existiert nicht.,,This survey does not exist - Esta encuesta no existe.,Ce sondage n'existe pas,,アンケートが見つかりません。,Essa pesquisa não existe,Undersökningen du försöker nå finns inte,Esta encuesta no existe.,แบบสอบถามนี้ไม่มีอีกต่อไปแล้ว,Bu anket bulunmamaktadır,존재하지 않는 설문입니다.,Данный опрос не существует,Deze enquête bestaat niet,Tätä kyselyä ei ole,Denne undersøkelsen finnes ikke
You already finished this survey,Tento dotazník jste již dokončil/a.,你已经完成了此调查问卷。,Du har allerede afsluttet denne undersøgelse,Sie haben diese Umfrage bereits beendet.,,You already finished this survey - Usted ya ha terminado esta encuesta.,Vous avez déjà fini ce sondage.,,アンケートを完了しました。,Você já concluiu essa pesquisa,Du har redan deltagit i denna undersökningen,Usted ya ha terminado esta encuesta.,ฉันตอบแบบสอบถามเรียบร้อยแล้ว,Bu anketi daha önce doldurdunuz.,설문을 이미 완성하였습니다.,Вы уже закончили этот опрос,U hebt deze enquête al voltooid,Vastasit jo tähän kyselyyn,Du har allerede fullført denne undersøkelsen
