This survey is inactive,This survey is inactive - Esta encuesta está inactiva.
Unable to start survey.,Unable to start survey - Imposible comenzar la encuesta.
Invalid Survey,Invalid Survey - Encuesta inválida.
No partner id,No partner id - La identificación no calza.
You have already finished this survey.,You have already finished this survey - Usted ya ha terminado esta encuesta.
This survey is no longer available,This survey is no longer available - Esta encuesta ya no está disponible.
Please provide an answer.,Please provide an answer - Por favor dé una respuesta.
Please choose %d images.,Please choose %d images - Por favor escoja %d imágenes.
This survey does not exist,This survey does not exist - Esta encuesta no existe.
You already finished this survey,You already finished this survey - Usted ya ha terminado esta encuesta.
Please answer with complete sentences and use at least %s words.,Please answer with complete sentences and use at least %s words - Por favor use mínimo %s palabras.
Please enter the required number of words.,Please enter the required number of words - Por favor ingrese el número requerido de palabras.
Previous,Previous - Previo
Next,Next - Siguiente
Submit,Submit - Enviar
Please use at least %s words.,
Are you satisfied with this image?,
Yes,
No,
Question %d,
Start new survey,
"No, go back",
Type your answer here,
Tap image to see larger,
Click an image to expand,
Start New Survey,
Please choose,
Please answer,
at least,
and,
up to,
answers.,
words.,
Thanks!,Thanks - Gracias!
Thank you for taking the time to complete this survey.,
quota full.,
screened out.,
Please select %d %s.,
See many more images by clicking,
Please provide an answer for each row.,Please provide an answer for row - Por favor proporcione una respuesta para cada línea.
Please provide an answer for each column.,Please provide an answer for column - Por favor proporcione una respuesta para cada columna.
See many more images by clicking 'More Images'.,
Tap an image to put it back,
Please scroll down to see more images before selecting.,
Choose image above,
"Thank you for participating in this survey. We are searching for a cross section of individuals and unfortunately already have enough information from individuals with your qualifications. (**DONT TRANSLATE THIS PARENTHESIS** - The message id on the platform is ""screened out.""!! Nearly none of the languages get's this translation right since they have translated ""screened out."" in another cell.)",
Please answer using only numbers,
Please use between %s and %s words,
Please select between %s and %s options,
exactly,
options,
between %d and %d,
Please select,
Please choose between %d and %d options,
Please choose exactly %d options,
Please choose at least %d options,
Please choose up to %d options,
"Press, hold, and drag to select specific text",
Please highlight exactly 3 words or phrases.,
Click on a statement to assign its ranking,
Choose statements above,
"To undo a selection, re-click the statement",
Place statement here,
Please select at least %d row(s) per column,
Please select exactly %d row(s) per column,
Please select between %d and %d row(s) per column,
Please select up to %d row(s) per column,
Please provide an answer in at least %d column(s),
Please provide an answer in exactly %d column(s),
Please provide an answer in between %d and %d column(s),
Please provide an answer in up to %d column(s),
Please select at least %d and no more than %d statements from the left to correspond with the benefit statement at the top of the column.,
Please select exactly %d statements from the left to correspond with the benefit statement at the top of the column.,
Please select at least %d statements from the left to correspond with the benefit statement at the top of the column.,
Please select no more than %d statements from the left to correspond with the benefit statement at the top of the column.,
"If only one option appears, please select it and click next to move to the next questions.",
Please enter a number.,
Scroll down for more images. ,
Oops!,"You are ineligible to take this survey. Our system’s records indicate that you have already taken, or have attempted to take this survey before. No eres elegible para tomar esta encuesta. Los registros de nuestro sistema indican que ya ha realizado o ha intentado realizar esta encuesta anteriormente."
,
"You are ineligible to take this survey. Our system’s records indicate that you have already taken, or have attempted to take this survey before.",
This survey may not function properly with Internet Explorer. Please switch to an updated browser such as Chrome before you continue.,
Your browser is outdated or you are using native App to open this survey. Please update your browser or open this survey link in a web browser before you continue this survey.,
